kuacha	leave	irse de
kuagiza	order	ordenar
kuambia	tell	contar
kuamini	believe	creer
kuamka	awaken	despertar
kuamua	decide	decidir
kuanda	prepare	preparar
kuandika	write	escribir
kuangalia	look	mirar
kuanguka	fall	caer
kuanza	start	comenzar
kubadilishana	exchange	intercambiar
kubeba	carry	cargar
kubisha	disagree	no estar de acuerdo
kuchagua	choose	escoger
kuchanganya	mix	mezclar
kucheka	laugh	reírse
kuchelewa	be late	llegar tarde
kuchemsha	boil	hervir
kucheza	play	jugar
kuchoka	tire	tirar
kuchukia	hate	odiar
kuchukua	take	tomar
kuelekea	go	ir
kuelewa	understand	entender
kueleza	explain	explicar
kuendelea	continue	continuar
kuendesha	drive	manejar
kufa	die	morir
kufaa	be suitable	acomodar
kufanana	resemble	parecerse a
kufanyika	happen	suceder
kufanya	do	hacer
kufariki	die	morir
kufika	arrive	llegar
kufikia	arrive at	llegar a
kufikiri	think	pensar
kufikiria	think about	pensar en
kufunga	close	cerrar
kufungua	open	opar
kufunza	teach	enseñar
kufurahi	be happy	sé feliz
kugawana	share	compartir
kugombana	argue	discutir
kugusa	touch	tocar
kuhakikisha	confirm	confirmar
kuhisi	feel	sentir
kuhitaji	need	necesitar
kuiba	steal	robar
kuimba	sing	cantar
kuingia	enter	entrar en
kuisha	end	terminar
kuishi	live	vivir
kuitwa	be named	ser nombrado
kuja	come	comer
kujali	care	preocuparse
kujaribu	try	intentar
kujenga	build	construir
kujibu	answer	responder a
kujifunza	learn	aprender
kujitahidi	improve	mejorar
kujua	know	saber
kukaa	stay	quedarse
kukaanga	fry	freír
kukaribia	approach	aproximarse
kukasirika	be angry	estar enojado
kukata	cut	cortar
kukimbia	run	correr
kukisi	kiss	besar
kukodisha	rent	alquilar
kukodishwa	rent	alquilar
kukonda	lose weight	adelgazar
kukosea	be wrong	equivocarse
kukubali	agree	estar de acuerdo
kukulia	grow up	madura de una vez
kukumbuka	remember	recordar
kukumbusha	remind	recordar
kula	eat	comer
kulala	sleep	dormir
kuleta	bring	traer
kulia	cry	llorar
kulipa	pay	pagar
kumaanisha	mean	mear
kumaliza	finish	terminar
kunenepa	put on weight	engordar
kununua	buy	comprar
kunywa	drink	beber
kuogelea	swim	nadar
kuogopa	fear	el miedo
kuomba	request	pedir
kuona	see	ver
kuondoka	depart	salir
kuonekana	resemble	parecerse a
kuongea	speak	hablar
kuongeza	add	sumar
kuonja	taste	probar
kuonyesha	show	mostrar
kuosha	wash	lavar
kupa	give	dar
kupanga	plan	planear
kupata	get	conseguir
kupeleka	take	tomar
kupenda	love	querer
kupendelea	prefer	preferir
kupendeza	look great	se ve muy bien
kupika	cook	cocinar
kupinda	turn	girar
kupita	pass	pasar
kupitia	visit	la visita
kupokea	receive	recibir
kupotea	be lost	perderse
kupoteza	lose	perder
kupumzika	rest	descansar
kupunguza	reduce	reducir
kurekebisha	repair	reparar
kuripoti	report	informar sobre
kurudi	return	regresar
kuruhusu	allow	permitir
kuruka	jump	saltar
kusafisha	clean	limpiar
kusahau	forget	olvidar
kusaidia	help	ayudar
kusali	pray	rezar
kusema	say	decir
kushiba	be full	estar lleno
kushiriki	share	compartir
kushtuka	be shocked	quedar estupefacto
kusifia	recommend	recomendar
kusikia	hear	oír
kusikiliza	listen	listar
kusimama	stop	parar
kusoma	read	leer
kusomea	study	estudiar
kustahili	be required	exigirse
kustarehe	relax	relajarse
kusubiri	wait	esperar
kusumbuka	worry	preocuparse
kutafuta	look for	buscar
kutaka	want	querer
kutamani	wish	desear
kutambua	realize	darse cuenta de
kutarajia	expect	esperar
kutazama	watch	ver
kutegemea	plan	planear
kutembea	walk	caminar
kutembelea	visit	la visita
kutengeneza	make	hacer
kutoa	subtract	restar
kutoka	come from	venir de
kutosha	suffice	bastar
kutuma	send	enviar
kutumaini	hope	esperar
kutumia	use	usar
kuua	kill	matar
kuuliza	ask	preguntar
kuuma	bite	morder
kuumwa	be sick	estar enfermo
kuuza	sell	vender
kuvaa	wear	llevar
kuvuka	cross	cruzar
kuvunja	break	romper
kuwasiliana	communicate	comunicarse
kuwasha	turn on	prender
kuwaza	think	pensar
kuweka	put	poner
kuweza	be able	ser capaz
kuzaliwa	be born	nacer
kuzima	turn off	apagar
kuzoea	be used to	estar acostumbrado a
kuzungumza	converse	conversar
kwenda	go	ir
kwisha	finish	terminar
