kuacha	leave	dejar
kuagiza	order	orden
kuambia	tell	decir
kuamini	believe	creer
kuamka	awaken	despertar
kuamua	decide	decidir
kuanda	prepare	preparar
kuandika	write	escribir
kuangalia	look	mirar
kuanguka	fall	caer
kuanza	start	comenzar
kubadilishana	exchange	intercambio
kubeba	carry	llevar
kubisha	disagree	discrepar
kuchagua	choose	elegir
kuchanganya	mix	mezcla
kucheka	laugh	reír
kuchelewa	be late	llegar tarde
kuchemsha	boil	hervir
kucheza	play	jugar
kuchoka	tire	neumático
kuchukia	hate	odiar
kuchukua	take	llevar
kuelekea	go	ir
kuelewa	understand	entender
kueleza	explain	explicar
kuendelea	continue	continuar
kuendesha	drive	conducir
kufa	die	morir
kufaa	be suitable	ser adecuado
kufanana	resemble	parecerse
kufanyika	happen	suceder
kufanya	do	hacer
kufariki	die	morir
kufika	arrive	llegar
kufikia	arrive at	llegar a
kufikiri	think	pensar
kufikiria	think about	pensar en
kufunga	close	cerca
kufungua	open	abierto
kufunza	teach	enseñar
kufurahi	be happy	ser feliz
kugawana	share	compartir
kugombana	argue	argumentar
kugusa	touch	tocar
kuhakikisha	confirm	confirmar
kuhisi	feel	sentir
kuhitaji	need	necesidad
kuiba	steal	robar
kuimba	sing	cantar
kuingia	enter	ingresar
kuisha	end	fin
kuishi	live	vivir
kuitwa	be named	ser nombrado
kuja	come	venir
kujali	care	cuidado
kujaribu	try	intentar
kujenga	build	construir
kujibu	answer	respuesta
kujifunza	learn	aprender
kujitahidi	improve	mejorar
kujua	know	saber
kukaa	stay	permanecer
kukaanga	fry	freír
kukaribia	approach	acercarse
kukasirika	be angry	estar enojado
kukata	cut	cortar
kukimbia	run	correr
kukisi	kiss	beso
kukodisha	rent	alquilar
kukodishwa	rent	alquilar
kukonda	lose weight	perder peso
kukosea	be wrong	estar equivocado
kukubali	agree	aceptar
kukulia	grow up	crecer
kukumbuka	remember	recordar
kukumbusha	remind	recordar
kula	eat	comer
kulala	sleep	dormir
kuleta	bring	traer
kulia	cry	llorar
kulipa	pay	pagar
kumaanisha	mean	significar
kumaliza	finish	finalizar
kunenepa	put on weight	Poner peso
kununua	buy	comprar
kunywa	drink	beber
kuogelea	swim	nadar
kuogopa	fear	miedo
kuomba	request	pedido
kuona	see	ver
kuondoka	depart	salir
kuonekana	resemble	parecerse
kuongea	speak	hablar
kuongeza	add	agregar
kuonja	taste	gusto
kuonyesha	show	espectáculo
kuosha	wash	lavar
kupa	give	dar
kupanga	plan	plan
kupata	get	conseguir
kupeleka	take	llevar
kupenda	love	amar
kupendelea	prefer	preferir
kupendeza	look great	se ve genial
kupika	cook	cocinar
kupinda	turn	doblar
kupita	pass	aprobar
kupitia	visit	visita
kupokea	receive	recibir
kupotea	be lost	estar perdido
kupoteza	lose	perder
kupumzika	rest	descansar
kupunguza	reduce	reducir
kurekebisha	repair	reparar
kuripoti	report	informe
kurudi	return	devolver
kuruhusu	allow	permitir
kuruka	jump	saltar
kusafisha	clean	limpio
kusahau	forget	olvidar
kusaidia	help	ayuda
kusali	pray	orar
kusema	say	decir
kushiba	be full	estar lleno
kushiriki	share	compartir
kushtuka	be shocked	estar conmocionado
kusifia	recommend	recomendar
kusikia	hear	escuchar
kusikiliza	listen	escuchar
kusimama	stop	detener
kusoma	read	leer
kusomea	study	estudiar
kustahili	be required	ser requerido
kustarehe	relax	relajarse
kusubiri	wait	esperar
kusumbuka	worry	preocuparse
kutafuta	look for	buscar
kutaka	want	desear
kutamani	wish	desear
kutambua	realize	darse cuenta
kutarajia	expect	esperar
kutazama	watch	mirar
kutegemea	plan	plan
kutembea	walk	caminar
kutembelea	visit	visita
kutengeneza	make	hacer
kutoa	subtract	sustraer
kutoka	come from	viene de
kutosha	suffice	satisfacer
kutuma	send	enviar
kutumaini	hope	esperanza
kutumia	use	usar
kuua	kill	matar
kuuliza	ask	preguntar
kuuma	bite	morder
kuumwa	be sick	estar enfermo
kuuza	sell	vender
kuvaa	wear	tener puesto
kuvuka	cross	cruz
kuvunja	break	romper
kuwasiliana	communicate	comunicar
kuwasha	turn on	encender
kuwaza	think	pensar
kuweka	put	poner
kuweza	be able	ser capaz
kuzaliwa	be born	nacer
kuzima	turn off	apagar
kuzoea	be used to	ser usado para
kuzungumza	converse	conversar
kwenda	go	ir
kwisha	finish	finalizar
